local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp,anormal,temp_faixa
1,04/08/2023,18:57:47,-18.918198,-48.230461,36.10606,29.284864,26.240696,26.240898,26.241728,26.241488,26.241167,26.240978,26.240852,26.240763,2023-04-08 18:57:47,4.0,0,"(3.8, 5.7]"
1,04/08/2023,19:07:47,-18.918203,-48.23045,36.570705,29.165661,26.239014,26.239992,26.239992,26.240061,26.240105,26.240131,26.240149,26.24004,2023-04-08 19:07:47,4.0,0,"(3.8, 5.7]"
1,04/08/2023,19:17:47,-18.918221,-48.230431,36.611111,29.081324,26.18672,26.207384,26.204836,26.199821,26.195887,26.192198,26.189754,26.188017,2023-04-08 19:17:47,3.1955771249999962,1,"(1.9, 3.8]"
1,04/08/2023,19:27:47,-18.918192,-48.230465,35.949493,28.979818,26.175987,26.177492,26.177492,26.177561,26.177605,26.177631,26.177507,26.177299,2023-04-08 19:27:47,3.1773217499999973,1,"(1.9, 3.8]"
1,04/08/2023,19:37:47,-18.918198,-48.230446,36.409092,28.930805,26.118853,26.12405,26.128014,26.12505,26.122545,26.121059,26.120075,26.119375,2023-04-08 19:37:47,3.1223776249999986,1,"(1.9, 3.8]"
1,04/08/2023,19:47:47,-18.918234,-48.230404,36.272728,28.821716,26.105175,26.114992,26.114992,26.115061,26.115105,26.114962,26.113178,26.110947,2023-04-08 19:47:47,3.113051500000001,1,"(1.9, 3.8]"
1,04/08/2023,19:57:47,-18.918226,-48.230446,36.424244,28.795954,26.053196,26.05521,26.054663,26.053988,26.053667,26.053478,26.053352,26.053263,2023-04-08 19:57:47,3.053852124999999,1,"(1.9, 3.8]"
1,04/08/2023,20:07:47,-18.918224,-48.230473,36.984848,28.675739,26.020052,26.052492,26.052492,26.050848,26.045801,26.037725,26.030127,26.024361,2023-04-08 20:07:47,3.0392372499999993,1,"(1.9, 3.8]"
1,04/08/2023,20:37:47,-18.918236,-48.23045,36.050507,28.267151,25.864326,25.864992,25.864992,25.865059,25.865103,25.865128,25.865147,25.86516,2023-04-08 20:37:47,6.864988375000003,1,"(5.7, 7.6]"
1,04/08/2023,20:47:47,-18.918203,-48.230488,37.166668,28.206558,25.806141,25.82242,25.816814,25.811975,25.809618,25.808218,25.807291,25.806633,2023-04-08 20:47:47,6.811138750000005,1,"(5.7, 7.6]"
1,04/08/2023,20:57:47,-18.91824,-48.230499,37.505051,28.114113,25.756056,25.796152,25.792076,25.781725,25.771992,25.765705,25.761402,25.758343,2023-04-08 20:57:47,5.772931375000002,1,"(5.7, 7.6]"
1,04/10/2023,00:03:42,-18.918177,-48.230522,63.065548,26.51326,26.423325,26.368616,26.380825,26.380825,26.423325,26.426659,26.427492,26.427492,2023-04-10 00:03:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,00:13:42,-18.918192,-48.230488,62.838383,26.495417,26.427492,26.36318,26.364992,26.364992,26.365826,26.395824,26.427492,26.427492,2023-04-10 00:13:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,00:23:42,-18.918179,-48.230499,61.469696,26.497971,26.428326,26.424774,26.427492,26.427492,26.426659,26.427492,26.427492,26.427492,2023-04-10 00:23:42,4.0,0,"(3.8, 5.7]"
